"n","x","y","id"
"Matatoki-Puriri",175.6609,-37.2373,621
"Paeroa",175.6739,-37.3754,622
"Tairua",175.8534,-36.9946,623
"Thames Coast",175.5438,-37.0048,624
"Kauaeranga",175.6252,-37.1074,625
"Hikuai",175.7681,-37.101,626
"Pauanui",175.8549,-37.0339,627
"Whangamata",175.8666,-37.2135,628
"Whangamata Rural",175.8301,-37.1753,629
"Waihi Rural",175.7843,-37.4366,630
"Waihi North",175.8335,-37.3862,631
"Waihi South",175.8375,-37.3973,632
"Hauraki Plains North",175.3965,-37.264,633
"Miranda-Pukorokoro",175.2761,-37.1135,634
"Hauraki Plains East",175.5435,-37.2382,635
"Hauraki Plains South",175.4825,-37.3553,636
